putaway_id,transaction_date,transaction_time,store_id,employee_id,employee_name,product_id,sku,quantity_received,quantity_putaway,shelf_location,status,time_to_putaway_minutes,quality_check_passed,remarks
PUT000021,2026-07-14,23:23,S002,EMP0017,Kunal Mehta,PROD00102,SKU000102,10,28,A5-5,Completed,63,True,None
PUT000022,2026-04-28,17:06,S003,EMP0023,Vikram Reddy,PROD00098,SKU000098,48,17,D1-5,Delayed,83,True,None
PUT000023,2026-07-15,19:07,S004,EMP0032,Pooja Sharma,PROD00078,SKU000078,13,5,A5-4,Completed,17,True,None
PUT000024,2026-07-06,23:26,S004,EMP0027,Anjali Gupta,PROD00095,SKU000095,42,50,B7-1,Quality Hold,83,True,None
PUT000025,2026-07-19,20:15,S003,EMP0014,Sneha Joshi,PROD00114,SKU000114,28,9,C9-3,Completed,55,True,None
PUT000026,2026-07-08,06:03,S004,EMP0002,Pooja Singh,PROD00055,SKU000055,26,18,B10-2,Completed,111,False,None
PUT000027,2026-06-27,16:49,S005,EMP0016,Sneha Kulkarni,PROD00060,SKU000060,14,41,A5-2,Partial,74,True,None
PUT000028,2026-07-09,17:50,S001,EMP0009,Kunal Mehta,PROD00004,SKU000004,20,40,C1-2,Delayed,11,True,None
PUT000029,2026-05-31,21:28,S005,EMP0007,Vikram Kulkarni,PROD00017,SKU000017,28,35,E2-4,Partial,83,True,None
PUT000030,2026-04-30,06:03,S005,EMP0019,Vikram Yadav,PROD00118,SKU000118,35,28,D2-4,Quality Hold,14,True,None
PUT000031,2026-05-07,14:39,S002,EMP0006,Kunal Reddy,PROD00033,SKU000033,45,40,E6-4,Delayed,63,True,None
PUT000032,2026-05-29,12:27,S001,EMP0008,Anjali Sharma,PROD00142,SKU000142,33,17,D6-4,Quality Hold,58,False,None
PUT000033,2026-06-13,17:09,S004,EMP0011,Disha Reddy,PROD00066,SKU000066,48,33,A2-1,Completed,60,True,None
PUT000034,2026-06-06,23:35,S002,EMP0037,Pooja Singh,PROD00016,SKU000016,26,45,A7-3,Quality Hold,116,False,None
PUT000035,2026-06-17,09:36,S005,EMP0019,Vikram Yadav,PROD00091,SKU000091,37,16,B8-2,Completed,49,True,None
PUT000036,2026-07-09,19:54,S003,EMP0023,Vikram Reddy,PROD00058,SKU000058,40,42,E9-1,Delayed,8,True,None
PUT000037,2026-04-25,06:11,S003,EMP0015,Disha Verma,PROD00090,SKU000090,14,39,D2-2,Completed,16,False,None
PUT000038,2026-06-26,16:10,S004,EMP0027,Anjali Gupta,PROD00117,SKU000117,28,22,C10-5,Completed,118,True,None
PUT000039,2026-07-03,14:28,S005,EMP0005,Rohan Singh,PROD00021,SKU000021,47,30,D10-4,Quality Hold,39,True,None
PUT000040,2026-05-19,09:18,S001,EMP0030,Pooja Reddy,PROD00111,SKU000111,48,46,E8-5,Delayed,10,True,None
PUT000041,2026-05-08,15:13,S001,EMP0004,Priya Reddy,PROD00053,SKU000053,13,19,C6-1,Completed,68,False,None
PUT000042,2026-07-01,13:32,S002,EMP0031,Neha Mehta,PROD00137,SKU000137,40,45,C2-4,Completed,60,True,None
PUT000043,2026-07-14,18:45,S003,EMP0023,Vikram Reddy,PROD00110,SKU000110,45,29,C2-4,Completed,46,True,None
PUT000044,2026-05-26,09:15,S003,EMP0003,Pooja Reddy,PROD00112,SKU000112,32,40,D9-1,Quality Hold,116,True,None
PUT000045,2026-06-10,08:32,S002,EMP0026,Priya Sharma,PROD00044,SKU000044,45,10,E9-2,Delayed,49,False,None
PUT000046,2026-07-05,14:12,S002,EMP0006,Kunal Reddy,PROD00038,SKU000038,16,41,B2-2,Quality Hold,64,False,None
PUT000047,2026-05-10,16:55,S004,EMP0032,Pooja Sharma,PROD00145,SKU000145,45,23,B8-1,Quality Hold,61,True,None
PUT000048,2026-06-18,22:04,S005,EMP0005,Rohan Singh,PROD00091,SKU000091,24,32,D1-1,Delayed,111,True,None
PUT000049,2026-05-02,23:50,S001,EMP0033,Sneha Verma,PROD00119,SKU000119,7,31,E4-3,Quality Hold,69,True,None
PUT000050,2026-05-27,22:41,S001,EMP0030,Pooja Reddy,PROD00022,SKU000022,16,5,B8-4,Partial,51,True,None
PUT000051,2026-06-04,07:50,S004,EMP0035,Neha Verma,PROD00087,SKU000087,45,44,C2-3,Completed,76,True,None
PUT000052,2026-06-17,16:05,S003,EMP0036,Disha Mehta,PROD00039,SKU000039,42,45,B6-3,Quality Hold,21,True,None
PUT000053,2026-07-13,16:52,S003,EMP0023,Vikram Reddy,PROD00097,SKU000097,13,45,E2-4,Delayed,7,True,None
PUT000054,2026-06-30,12:14,S002,EMP0026,Priya Sharma,PROD00125,SKU000125,13,12,A5-1,Completed,89,True,None
PUT000055,2026-05-05,11:11,S002,EMP0031,Neha Mehta,PROD00040,SKU000040,49,42,B8-1,Quality Hold,51,True,None
PUT000056,2026-06-23,20:14,S004,EMP0028,Rohan Mehta,PROD00073,SKU000073,39,18,C8-2,Delayed,91,True,None
PUT000057,2026-05-25,22:33,S003,EMP0040,Neha Verma,PROD00098,SKU000098,31,13,B10-2,Delayed,11,True,None
PUT000058,2026-06-06,09:18,S005,EMP0007,Vikram Kulkarni,PROD00133,SKU000133,10,13,C8-5,Partial,111,True,None
PUT000059,2026-06-25,19:03,S004,EMP0011,Disha Reddy,PROD00007,SKU000007,30,35,C4-4,Completed,52,True,Temperature issue
PUT000060,2026-06-13,10:02,S001,EMP0030,Pooja Reddy,PROD00038,SKU000038,23,33,B8-4,Completed,120,True,Quantity mismatch
PUT000061,2026-06-21,22:27,S002,EMP0012,Neha Singh,PROD00141,SKU000141,12,21,B5-1,Completed,35,True,None
PUT000062,2026-05-05,21:38,S004,EMP0002,Pooja Singh,PROD00029,SKU000029,39,4,E10-2,Partial,42,True,None
PUT000063,2026-05-06,19:11,S003,EMP0014,Sneha Joshi,PROD00147,SKU000147,47,45,A9-3,Completed,72,True,None
PUT000064,2026-05-20,21:02,S005,EMP0005,Rohan Singh,PROD00100,SKU000100,45,27,C5-1,Delayed,105,True,None
PUT000065,2026-06-23,07:22,S001,EMP0030,Pooja Reddy,PROD00035,SKU000035,39,24,B8-4,Partial,108,True,None
PUT000066,2026-05-26,07:50,S001,EMP0029,Pooja Verma,PROD00052,SKU000052,17,5,C5-5,Quality Hold,109,True,None
PUT000067,2026-06-21,17:55,S001,EMP0018,Rohan Singh,PROD00074,SKU000074,8,44,C5-1,Delayed,60,True,None
PUT000068,2026-05-28,21:44,S004,EMP0011,Disha Reddy,PROD00048,SKU000048,36,26,E5-1,Quality Hold,15,True,None
PUT000069,2026-06-30,09:05,S005,EMP0019,Vikram Yadav,PROD00083,SKU000083,25,45,C5-4,Quality Hold,26,True,None
PUT000070,2026-06-09,19:17,S004,EMP0002,Pooja Singh,PROD00091,SKU000091,45,6,A7-3,Partial,8,True,None
PUT000071,2026-04-28,08:15,S004,EMP0002,Pooja Singh,PROD00033,SKU000033,46,26,C7-5,Completed,82,True,None
PUT000072,2026-05-27,08:36,S003,EMP0015,Disha Verma,PROD00114,SKU000114,13,36,C7-3,Delayed,36,True,Temperature issue
PUT000073,2026-06-30,23:07,S004,EMP0028,Rohan Mehta,PROD00100,SKU000100,21,19,D4-5,Delayed,93,True,None
PUT000074,2026-07-08,11:57,S002,EMP0006,Kunal Reddy,PROD00116,SKU000116,50,31,A6-3,Completed,75,True,None
PUT000075,2026-06-15,22:14,S002,EMP0012,Neha Singh,PROD00093,SKU000093,12,15,B4-4,Completed,51,True,None
PUT000076,2026-06-06,10:39,S004,EMP0035,Neha Verma,PROD00142,SKU000142,10,7,C7-4,Quality Hold,103,True,None
PUT000077,2026-07-14,20:29,S002,EMP0026,Priya Sharma,PROD00019,SKU000019,48,36,C3-5,Partial,103,True,None
PUT000078,2026-05-20,10:19,S001,EMP0008,Anjali Sharma,PROD00133,SKU000133,15,13,C4-3,Delayed,113,True,None
PUT000079,2026-06-28,15:39,S005,EMP0019,Vikram Yadav,PROD00033,SKU000033,39,8,E3-5,Partial,26,True,None
PUT000080,2026-05-07,07:52,S003,EMP0040,Neha Verma,PROD00145,SKU000145,6,8,A10-3,Partial,103,True,None
PUT000081,2026-05-05,15:41,S001,EMP0039,Suresh Reddy,PROD00140,SKU000140,24,33,B7-3,Quality Hold,14,True,None
PUT000082,2026-07-03,20:13,S004,EMP0027,Anjali Gupta,PROD00124,SKU000124,26,41,B6-3,Delayed,56,True,None
PUT000083,2026-06-06,16:15,S005,EMP0038,Amit Verma,PROD00028,SKU000028,34,10,C8-2,Partial,17,True,None
PUT000084,2026-06-04,11:52,S005,EMP0022,Sneha Singh,PROD00064,SKU000064,25,39,C4-2,Quality Hold,70,True,None
PUT000085,2026-06-14,18:32,S004,EMP0002,Pooja Singh,PROD00024,SKU000024,34,18,B10-3,Completed,11,True,None
PUT000086,2026-05-08,06:54,S004,EMP0011,Disha Reddy,PROD00138,SKU000138,11,30,B5-3,Quality Hold,51,True,None
PUT000087,2026-07-17,17:35,S005,EMP0038,Amit Verma,PROD00050,SKU000050,23,7,D9-4,Delayed,110,True,None
PUT000088,2026-05-06,18:23,S001,EMP0009,Kunal Mehta,PROD00025,SKU000025,26,38,C3-2,Quality Hold,69,True,None
PUT000089,2026-07-19,22:29,S002,EMP0026,Priya Sharma,PROD00122,SKU000122,14,41,E3-3,Delayed,25,True,None
PUT000090,2026-06-15,22:34,S005,EMP0020,Disha Mehta,PROD00130,SKU000130,36,48,E5-4,Completed,52,True,None
PUT000091,2026-07-09,06:38,S004,EMP0028,Rohan Mehta,PROD00079,SKU000079,35,19,E10-2,Completed,79,True,None
PUT000092,2026-05-17,13:02,S005,EMP0022,Sneha Singh,PROD00038,SKU000038,41,47,A4-1,Quality Hold,45,True,None
PUT000093,2026-06-01,21:55,S002,EMP0031,Neha Mehta,PROD00129,SKU000129,8,48,B9-2,Delayed,89,True,None
PUT000094,2026-06-05,23:21,S003,EMP0014,Sneha Joshi,PROD00118,SKU000118,39,25,C10-4,Partial,36,True,None
PUT000095,2026-06-15,12:44,S002,EMP0024,Anjali Gupta,PROD00074,SKU000074,50,34,C8-3,Delayed,41,True,None
PUT000096,2026-04-28,17:49,S005,EMP0022,Sneha Singh,PROD00102,SKU000102,14,21,A5-1,Delayed,61,True,None
PUT000097,2026-05-23,14:59,S002,EMP0017,Kunal Mehta,PROD00138,SKU000138,40,47,C3-1,Partial,36,True,None
PUT000098,2026-05-17,09:26,S002,EMP0017,Kunal Mehta,PROD00014,SKU000014,26,48,D2-2,Completed,75,True,None
PUT000099,2026-05-01,15:20,S004,EMP0027,Anjali Gupta,PROD00052,SKU000052,23,44,A2-5,Partial,73,False,None
PUT000100,2026-07-19,07:53,S002,EMP0031,Neha Mehta,PROD00046,SKU000046,30,34,B5-1,Completed,43,True,None
PUT000101,2026-07-10,23:33,S003,EMP0015,Disha Verma,PROD00117,SKU000117,36,11,E8-3,Partial,108,True,None
PUT000102,2026-07-03,11:00,S004,EMP0032,Pooja Sharma,PROD00066,SKU000066,26,21,E4-2,Quality Hold,110,True,None
PUT000103,2026-06-12,11:08,S001,EMP0033,Sneha Verma,PROD00025,SKU000025,35,23,B1-3,Quality Hold,35,True,None
PUT000104,2026-06-19,06:16,S003,EMP0015,Disha Verma,PROD00150,SKU000150,46,26,B1-1,Quality Hold,44,True,None
PUT000105,2026-04-27,15:23,S005,EMP0019,Vikram Yadav,PROD00031,SKU000031,44,17,B3-4,Partial,63,False,None
PUT000106,2026-06-06,21:48,S004,EMP0032,Pooja Sharma,PROD00141,SKU000141,39,45,B4-5,Completed,72,True,None
PUT000107,2026-04-24,09:03,S003,EMP0003,Pooja Reddy,PROD00145,SKU000145,40,35,B10-5,Partial,26,True,None
PUT000108,2026-05-28,21:05,S001,EMP0018,Rohan Singh,PROD00150,SKU000150,37,31,A8-2,Quality Hold,63,True,None
PUT000109,2026-05-13,06:25,S004,EMP0032,Pooja Sharma,PROD00079,SKU000079,21,3,B10-1,Completed,59,True,None
PUT000110,2026-07-15,21:02,S005,EMP0005,Rohan Singh,PROD00018,SKU000018,23,29,B3-4,Delayed,119,True,None
PUT000111,2026-06-05,10:41,S004,EMP0002,Pooja Singh,PROD00139,SKU000139,27,10,B9-4,Partial,98,True,None
PUT000112,2026-07-21,19:34,S003,EMP0021,Disha Singh,PROD00140,SKU000140,29,17,B8-3,Partial,40,True,None
PUT000113,2026-07-09,13:13,S001,EMP0033,Sneha Verma,PROD00005,SKU000005,9,9,E1-4,Completed,36,False,None
PUT000114,2026-06-02,12:48,S004,EMP0010,Kunal Verma,PROD00139,SKU000139,8,11,E5-2,Delayed,78,True,None
PUT000115,2026-04-28,10:42,S003,EMP0014,Sneha Joshi,PROD00078,SKU000078,38,17,D5-3,Completed,76,True,None
PUT000116,2026-07-01,07:22,S004,EMP0028,Rohan Mehta,PROD00127,SKU000127,46,45,D9-3,Quality Hold,57,True,None
PUT000117,2026-06-05,13:54,S002,EMP0037,Pooja Singh,PROD00122,SKU000122,19,22,B8-1,Quality Hold,58,True,None
PUT000118,2026-07-06,12:21,S004,EMP0010,Kunal Verma,PROD00066,SKU000066,46,8,D6-1,Partial,11,True,None
PUT000119,2026-04-28,12:51,S005,EMP0005,Rohan Singh,PROD00019,SKU000019,42,49,E4-4,Partial,116,True,None
PUT000120,2026-07-22,21:58,S002,EMP0017,Kunal Mehta,PROD00031,SKU000031,20,47,E4-4,Partial,75,True,None
PUT000121,2026-06-17,17:19,S004,EMP0027,Anjali Gupta,PROD00137,SKU000137,21,26,E8-4,Completed,107,False,None
PUT000122,2026-06-13,19:02,S002,EMP0026,Priya Sharma,PROD00081,SKU000081,41,17,B1-3,Quality Hold,42,True,None
PUT000123,2026-06-11,13:31,S002,EMP0031,Neha Mehta,PROD00146,SKU000146,40,44,C5-4,Quality Hold,63,True,None
PUT000124,2026-06-08,21:11,S002,EMP0012,Neha Singh,PROD00140,SKU000140,39,44,A9-1,Completed,109,True,None
PUT000125,2026-07-23,08:45,S004,EMP0010,Kunal Verma,PROD00060,SKU000060,14,3,B9-4,Delayed,12,True,None
PUT000126,2026-04-29,06:00,S005,EMP0025,Rajesh Sharma,PROD00125,SKU000125,39,38,D1-1,Delayed,73,True,Quantity mismatch
PUT000127,2026-05-20,09:58,S004,EMP0035,Neha Verma,PROD00046,SKU000046,11,36,B4-2,Delayed,109,True,None
PUT000128,2026-06-03,20:36,S001,EMP0030,Pooja Reddy,PROD00104,SKU000104,20,47,B5-1,Completed,16,True,None
PUT000129,2026-06-05,06:44,S005,EMP0025,Rajesh Sharma,PROD00015,SKU000015,15,8,D7-3,Completed,119,True,None
PUT000130,2026-06-24,07:59,S002,EMP0034,Vikram Patel,PROD00070,SKU000070,9,46,C9-5,Completed,27,True,Quantity mismatch
PUT000131,2026-06-27,08:19,S005,EMP0013,Rohan Joshi,PROD00102,SKU000102,15,39,B10-4,Delayed,54,False,None
PUT000132,2026-07-06,09:27,S001,EMP0030,Pooja Reddy,PROD00014,SKU000014,19,7,C10-5,Quality Hold,104,True,Temperature issue
PUT000133,2026-05-03,21:14,S003,EMP0040,Neha Verma,PROD00116,SKU000116,27,38,D7-2,Quality Hold,15,False,None
PUT000134,2026-06-16,14:09,S002,EMP0006,Kunal Reddy,PROD00022,SKU000022,29,48,B7-3,Delayed,18,True,None
PUT000135,2026-06-14,09:08,S004,EMP0011,Disha Reddy,PROD00070,SKU000070,10,14,D8-5,Quality Hold,18,True,None
PUT000136,2026-06-08,18:00,S005,EMP0007,Vikram Kulkarni,PROD00084,SKU000084,23,29,D2-5,Partial,78,True,None
PUT000137,2026-04-27,14:19,S004,EMP0010,Kunal Verma,PROD00036,SKU000036,22,34,B2-2,Quality Hold,40,True,None
PUT000138,2026-05-23,13:46,S001,EMP0030,Pooja Reddy,PROD00065,SKU000065,45,34,E10-2,Quality Hold,18,True,None
PUT000139,2026-07-23,16:28,S004,EMP0011,Disha Reddy,PROD00098,SKU000098,26,30,E3-3,Delayed,82,True,None
PUT000140,2026-05-23,16:18,S003,EMP0014,Sneha Joshi,PROD00102,SKU000102,49,43,D10-2,Delayed,53,True,None
PUT000141,2026-06-07,11:43,S001,EMP0018,Rohan Singh,PROD00140,SKU000140,40,4,D4-4,Delayed,111,True,None
PUT000142,2026-06-01,13:16,S004,EMP0010,Kunal Verma,PROD00078,SKU000078,47,12,D7-1,Quality Hold,81,True,None
PUT000143,2026-06-02,23:02,S005,EMP0038,Amit Verma,PROD00108,SKU000108,28,47,E10-1,Completed,103,True,None
PUT000144,2026-04-29,18:48,S003,EMP0014,Sneha Joshi,PROD00012,SKU000012,26,30,A1-1,Delayed,33,True,None
PUT000145,2026-05-18,17:25,S005,EMP0016,Sneha Kulkarni,PROD00115,SKU000115,34,46,E9-2,Delayed,8,True,None
PUT000146,2026-06-16,10:22,S004,EMP0002,Pooja Singh,PROD00030,SKU000030,24,24,D4-5,Quality Hold,49,True,None
PUT000147,2026-05-28,15:02,S004,EMP0011,Disha Reddy,PROD00018,SKU000018,50,10,A6-1,Partial,99,True,None
PUT000148,2026-07-01,23:27,S005,EMP0013,Rohan Joshi,PROD00085,SKU000085,34,17,D3-2,Quality Hold,55,True,None
PUT000149,2026-05-06,18:00,S002,EMP0034,Vikram Patel,PROD00110,SKU000110,50,16,B5-1,Completed,107,True,None
PUT000150,2026-06-07,09:16,S003,EMP0014,Sneha Joshi,PROD00118,SKU000118,47,34,E6-5,Quality Hold,83,True,None
PUT000151,2026-07-09,11:52,S003,EMP0015,Disha Verma,PROD00118,SKU000118,48,48,C10-5,Completed,91,True,None
PUT000152,2026-07-08,11:23,S002,EMP0024,Anjali Gupta,PROD00030,SKU000030,49,12,E7-4,Partial,78,True,None
PUT000153,2026-06-30,11:35,S004,EMP0032,Pooja Sharma,PROD00138,SKU000138,15,34,C3-2,Delayed,112,True,None
PUT000154,2026-07-17,10:12,S003,EMP0003,Pooja Reddy,PROD00125,SKU000125,29,38,E8-4,Quality Hold,58,False,None
PUT000155,2026-05-22,06:50,S002,EMP0006,Kunal Reddy,PROD00145,SKU000145,19,21,A5-2,Delayed,26,False,None
PUT000156,2026-05-12,09:36,S004,EMP0028,Rohan Mehta,PROD00131,SKU000131,12,20,E6-5,Completed,102,False,None
PUT000157,2026-05-15,13:19,S002,EMP0031,Neha Mehta,PROD00027,SKU000027,7,31,C6-1,Quality Hold,115,True,None
PUT000158,2026-06-23,11:39,S002,EMP0026,Priya Sharma,PROD00110,SKU000110,13,16,B1-5,Delayed,73,True,None
PUT000159,2026-05-16,15:36,S002,EMP0026,Priya Sharma,PROD00075,SKU000075,22,35,A3-4,Completed,40,True,None
PUT000160,2026-04-25,16:53,S002,EMP0017,Kunal Mehta,PROD00038,SKU000038,20,46,D8-2,Delayed,85,True,None
PUT000161,2026-05-27,22:47,S001,EMP0008,Anjali Sharma,PROD00104,SKU000104,22,47,C8-4,Delayed,79,True,None
PUT000162,2026-07-12,08:50,S004,EMP0032,Pooja Sharma,PROD00092,SKU000092,39,28,B7-2,Quality Hold,39,True,None
PUT000163,2026-06-10,21:50,S005,EMP0013,Rohan Joshi,PROD00145,SKU000145,26,46,A1-1,Quality Hold,7,True,None
PUT000164,2026-05-28,12:44,S004,EMP0002,Pooja Singh,PROD00110,SKU000110,13,44,C3-3,Completed,88,True,None
PUT000165,2026-07-13,07:25,S003,EMP0036,Disha Mehta,PROD00043,SKU000043,45,22,B7-1,Completed,5,True,None
PUT000166,2026-07-14,20:00,S002,EMP0017,Kunal Mehta,PROD00133,SKU000133,5,47,C2-4,Partial,66,True,None
PUT000167,2026-06-04,16:23,S001,EMP0008,Anjali Sharma,PROD00027,SKU000027,24,11,D3-2,Completed,72,True,Damaged items separated
PUT000168,2026-05-06,12:40,S002,EMP0034,Vikram Patel,PROD00090,SKU000090,14,29,E8-2,Completed,119,True,None
PUT000169,2026-07-08,19:20,S005,EMP0022,Sneha Singh,PROD00090,SKU000090,13,18,C2-2,Delayed,104,True,Temperature issue
PUT000170,2026-04-30,22:12,S003,EMP0014,Sneha Joshi,PROD00133,SKU000133,30,21,A4-4,Quality Hold,19,True,None
PUT000171,2026-05-03,06:23,S005,EMP0007,Vikram Kulkarni,PROD00136,SKU000136,25,11,D10-4,Delayed,74,True,None
PUT000172,2026-05-24,06:16,S001,EMP0004,Priya Reddy,PROD00018,SKU000018,18,5,A7-5,Delayed,85,False,None
PUT000173,2026-05-31,08:40,S004,EMP0032,Pooja Sharma,PROD00103,SKU000103,39,37,E3-3,Completed,44,True,None
PUT000174,2026-06-27,18:37,S002,EMP0037,Pooja Singh,PROD00084,SKU000084,45,44,A5-4,Partial,12,True,None
PUT000175,2026-05-29,15:42,S001,EMP0039,Suresh Reddy,PROD00015,SKU000015,47,50,B2-1,Partial,94,True,None
PUT000176,2026-05-21,14:10,S003,EMP0023,Vikram Reddy,PROD00133,SKU000133,28,11,C2-1,Delayed,108,True,None
PUT000177,2026-05-17,08:31,S001,EMP0029,Pooja Verma,PROD00148,SKU000148,34,35,C1-4,Partial,52,True,None
PUT000178,2026-07-10,22:00,S005,EMP0007,Vikram Kulkarni,PROD00059,SKU000059,7,3,B1-4,Delayed,54,True,None
PUT000179,2026-07-19,16:15,S005,EMP0022,Sneha Singh,PROD00058,SKU000058,31,49,C5-1,Delayed,20,True,None
PUT000180,2026-07-17,07:25,S002,EMP0017,Kunal Mehta,PROD00133,SKU000133,9,32,C5-3,Completed,75,True,Damaged items separated
PUT000181,2026-06-06,15:47,S002,EMP0024,Anjali Gupta,PROD00145,SKU000145,44,18,D6-5,Quality Hold,103,False,None
PUT000182,2026-05-15,19:01,S002,EMP0012,Neha Singh,PROD00002,SKU000002,19,37,C1-3,Completed,102,True,None
PUT000183,2026-06-14,13:26,S001,EMP0018,Rohan Singh,PROD00136,SKU000136,36,6,B5-1,Completed,34,True,None
PUT000184,2026-04-25,09:32,S003,EMP0021,Disha Singh,PROD00022,SKU000022,13,43,D2-5,Completed,60,True,None
PUT000185,2026-06-23,18:44,S003,EMP0015,Disha Verma,PROD00081,SKU000081,25,23,D5-2,Completed,30,True,None
PUT000186,2026-05-10,11:28,S001,EMP0009,Kunal Mehta,PROD00028,SKU000028,34,23,D2-5,Delayed,103,True,None
PUT000187,2026-06-14,08:10,S004,EMP0011,Disha Reddy,PROD00031,SKU000031,48,22,E1-2,Delayed,23,True,None
PUT000188,2026-06-22,07:43,S003,EMP0021,Disha Singh,PROD00132,SKU000132,24,19,B1-4,Quality Hold,76,False,None
PUT000189,2026-06-22,10:07,S001,EMP0039,Suresh Reddy,PROD00027,SKU000027,5,6,B3-2,Quality Hold,52,True,None
PUT000190,2026-05-02,06:04,S001,EMP0029,Pooja Verma,PROD00020,SKU000020,17,44,D3-1,Delayed,20,True,None
PUT000191,2026-07-17,21:01,S002,EMP0031,Neha Mehta,PROD00102,SKU000102,29,46,D3-3,Partial,28,True,None
PUT000192,2026-05-27,15:31,S002,EMP0001,Pooja Gupta,PROD00063,SKU000063,31,38,D1-1,Delayed,54,True,None
PUT000193,2026-06-28,06:24,S005,EMP0016,Sneha Kulkarni,PROD00140,SKU000140,50,25,D9-4,Delayed,77,True,None
PUT000194,2026-06-04,16:38,S003,EMP0014,Sneha Joshi,PROD00007,SKU000007,19,4,C1-4,Delayed,103,True,None
PUT000195,2026-07-03,14:34,S001,EMP0018,Rohan Singh,PROD00062,SKU000062,8,17,E7-3,Partial,27,True,None
PUT000196,2026-06-13,17:36,S003,EMP0023,Vikram Reddy,PROD00008,SKU000008,41,12,E4-4,Delayed,27,True,None
PUT000197,2026-07-12,06:33,S001,EMP0018,Rohan Singh,PROD00057,SKU000057,35,3,C10-2,Partial,48,False,None
PUT000198,2026-06-12,10:49,S001,EMP0004,Priya Reddy,PROD00038,SKU000038,12,36,C2-3,Quality Hold,80,True,None
PUT000199,2026-06-15,19:50,S003,EMP0014,Sneha Joshi,PROD00041,SKU000041,45,34,C3-5,Delayed,33,True,None
PUT000200,2026-07-01,10:11,S004,EMP0011,Disha Reddy,PROD00076,SKU000076,5,47,E7-5,Completed,28,True,None
PUT000201,2026-05-06,10:21,S002,EMP0006,Kunal Reddy,PROD00128,SKU000128,9,18,C6-2,Completed,110,False,None
PUT000202,2026-05-03,14:13,S003,EMP0021,Disha Singh,PROD00003,SKU000003,20,47,A6-3,Completed,97,True,None
PUT000203,2026-06-04,11:56,S004,EMP0032,Pooja Sharma,PROD00108,SKU000108,31,34,D6-5,Quality Hold,17,True,None
PUT000204,2026-05-01,08:51,S002,EMP0012,Neha Singh,PROD00116,SKU000116,7,21,A6-3,Completed,14,True,None
PUT000205,2026-06-05,08:21,S002,EMP0006,Kunal Reddy,PROD00141,SKU000141,43,42,D1-4,Partial,82,True,None
PUT000206,2026-07-17,12:26,S001,EMP0030,Pooja Reddy,PROD00053,SKU000053,49,38,E5-3,Delayed,35,True,None
