damage_id,report_date,report_time,reported_by_emp_id,reported_by_emp_name,reported_by_role,store_id,product_id,sku,product_name,quantity_damaged,unit_price,total_loss_value,damage_reason,damage_date,days_before_reported,category,severity,approver,status,notes
DMG000018,2026-04-27,21:55,EMP0035,Neha Verma,Team Lead - Inventory,S004,PROD00082,SKU000082,Fruits & Vegetables - Product 17,5,470.69,4236.21,Product Crushed,2026-04-13,14,Fruits & Vegetables,Medium,AMGR_001,Approved,None
DMG000019,2026-06-28,18:56,EMP0033,Sneha Verma,Assistant Manager,S001,PROD00095,SKU000095,Bakery - Product 5,13,394.46,7494.74,Wrong Item Received,2026-06-23,5,Bakery,High,MGR_001,Approved,None
DMG000020,2026-05-06,14:44,EMP0006,Kunal Reddy,Store Manager,S002,PROD00119,SKU000119,Personal Care - Product 17,6,243.19,486.38,Temperature Breach,2026-04-30,6,Personal Care,Medium,MGR_002,Approved,None
DMG000021,2026-07-04,09:00,EMP0030,Pooja Reddy,Warehouse Associate,S001,PROD00044,SKU000044,Beverages - Product 14,17,211.52,2961.28,Handling Error,2026-06-04,30,Beverages,Medium,MGR_002,Approved,None
DMG000022,2026-06-27,21:24,EMP0024,Anjali Gupta,Team Lead - Putaway,S002,PROD00074,SKU000074,Fruits & Vegetables - Product 9,5,147.49,2064.86,Wrong Item Received,2026-06-04,23,Fruits & Vegetables,Medium,MGR_001,Approved,None
DMG000023,2026-04-28,10:01,EMP0031,Neha Mehta,Warehouse Associate,S002,PROD00047,SKU000047,Beverages - Product 17,10,285.88,2572.92,Wrong Item Received,2026-04-15,13,Beverages,Medium,MGR_002,Approved,None
DMG000024,2026-05-10,10:55,EMP0002,Pooja Singh,Quality Checker,S004,PROD00003,SKU000003,Snacks & Chips - Product 3,11,303.44,3944.72,Wrong Item Received,2026-04-25,15,Snacks & Chips,Medium,MGR_002,Approved,None
DMG000025,2026-05-08,07:03,EMP0003,Pooja Reddy,Team Lead - Putaway,S003,PROD00025,SKU000025,Snacks & Chips - Product 25,11,146.12,1168.96,Handling Error,2026-04-21,17,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000026,2026-07-18,18:19,EMP0029,Pooja Verma,Assistant Manager,S001,PROD00130,SKU000130,Household - Product 10,13,239.1,2869.2,Product Crushed,2026-06-29,19,Household,Low,MGR_001,Approved,None
DMG000027,2026-06-20,16:56,EMP0037,Pooja Singh,Team Lead - Putaway,S002,PROD00127,SKU000127,Household - Product 7,15,137.11,685.55,Product Expired,2026-05-22,29,Household,Low,AMGR_001,Approved,None
DMG000028,2026-07-05,10:31,EMP0003,Pooja Reddy,Team Lead - Putaway,S003,PROD00081,SKU000081,Fruits & Vegetables - Product 16,9,340.57,4086.84,Temperature Breach,2026-07-04,1,Fruits & Vegetables,Low,MGR_002,Approved,None
DMG000029,2026-06-20,11:20,EMP0020,Disha Mehta,Team Lead - Putaway,S005,PROD00112,SKU000112,Personal Care - Product 10,16,227.02,1135.1,Pest Damage,2026-05-23,28,Personal Care,Medium,AMGR_001,Approved,None
DMG000030,2026-06-29,07:30,EMP0001,Pooja Gupta,Assistant Manager,S002,PROD00059,SKU000059,Dairy & Milk - Product 9,9,67.0,402.0,Handling Error,2026-06-24,5,Dairy & Milk,Low,MGR_001,Approved,None
DMG000031,2026-05-28,20:31,EMP0036,Disha Mehta,Quality Checker,S003,PROD00144,SKU000144,Frozen Foods - Product 4,4,403.94,2019.7,Product Expired,2026-05-13,15,Frozen Foods,Low,MGR_001,Approved,None
DMG000032,2026-06-30,12:37,EMP0037,Pooja Singh,Team Lead - Putaway,S002,PROD00070,SKU000070,Fruits & Vegetables - Product 5,1,77.55,1318.35,Shelf Life Expired,2026-06-12,18,Fruits & Vegetables,Low,MGR_002,Approved,None
DMG000033,2026-05-21,09:25,EMP0030,Pooja Reddy,Warehouse Associate,S001,PROD00007,SKU000007,Snacks & Chips - Product 7,12,384.23,7300.37,Product Expired,2026-05-12,9,Snacks & Chips,Low,MGR_001,Approved,None
DMG000034,2026-05-26,06:21,EMP0027,Anjali Gupta,Team Lead - Inventory,S004,PROD00069,SKU000069,Fruits & Vegetables - Product 4,2,52.89,1057.8,Handling Error,2026-05-07,19,Fruits & Vegetables,Low,AMGR_001,Approved,None
DMG000035,2026-06-26,07:47,EMP0029,Pooja Verma,Assistant Manager,S001,PROD00083,SKU000083,Fruits & Vegetables - Product 18,3,447.06,8047.08,Shelf Life Expired,2026-06-01,25,Fruits & Vegetables,Low,MGR_001,Approved,None
DMG000036,2026-07-01,12:10,EMP0031,Neha Mehta,Warehouse Associate,S002,PROD00023,SKU000023,Snacks & Chips - Product 23,13,334.61,4349.93,Spillage/Leakage,2026-07-01,0,Snacks & Chips,Medium,AMGR_001,Approved,None
DMG000037,2026-06-15,15:57,EMP0035,Neha Verma,Team Lead - Inventory,S004,PROD00111,SKU000111,Personal Care - Product 9,20,349.69,1748.45,Manufacturing Defect,2026-05-23,23,Personal Care,Medium,MGR_001,Approved,None
DMG000038,2026-06-28,14:36,EMP0027,Anjali Gupta,Team Lead - Inventory,S004,PROD00100,SKU000100,Bakery - Product 10,20,432.12,6049.68,Product Expired,2026-06-13,15,Bakery,Low,MGR_002,Approved,None
DMG000039,2026-05-29,16:29,EMP0002,Pooja Singh,Quality Checker,S004,PROD00011,SKU000011,Snacks & Chips - Product 11,8,79.92,399.6,Handling Error,2026-05-13,16,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000040,2026-07-13,21:19,EMP0021,Disha Singh,Assistant Manager,S003,PROD00112,SKU000112,Personal Care - Product 10,5,227.02,1135.1,Spillage/Leakage,2026-07-11,2,Personal Care,Low,AMGR_001,Approved,None
DMG000041,2026-05-12,09:32,EMP0008,Anjali Sharma,Warehouse Associate,S001,PROD00012,SKU000012,Snacks & Chips - Product 12,14,160.73,2250.22,Product Expired,2026-04-26,16,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000042,2026-06-08,22:01,EMP0023,Vikram Reddy,Quality Checker,S003,PROD00021,SKU000021,Snacks & Chips - Product 21,4,406.42,6096.3,Product Crushed,2026-05-15,24,Snacks & Chips,Low,MGR_002,Approved,None
DMG000043,2026-05-31,20:39,EMP0015,Disha Verma,Team Lead - Putaway,S003,PROD00117,SKU000117,Personal Care - Product 15,9,164.46,1809.06,Product Crushed,2026-05-07,24,Personal Care,Low,MGR_001,Approved,None
DMG000044,2026-05-07,23:01,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00028,SKU000028,Snacks & Chips - Product 28,1,321.17,4175.21,Product Expired,2026-04-24,13,Snacks & Chips,Medium,MGR_001,Approved,None
DMG000045,2026-04-26,17:44,EMP0035,Neha Verma,Team Lead - Inventory,S004,PROD00125,SKU000125,Household - Product 5,13,238.6,2386.0,Product Expired,2026-04-17,9,Household,Low,MGR_001,Rejected,None
DMG000046,2026-07-09,21:41,EMP0018,Rohan Singh,Team Lead - Putaway,S001,PROD00007,SKU000007,Snacks & Chips - Product 7,5,384.23,3073.84,Temperature Breach,2026-07-03,6,Snacks & Chips,Medium,AMGR_001,Approved,None
DMG000047,2026-06-15,06:07,EMP0010,Kunal Verma,Assistant Manager,S004,PROD00122,SKU000122,Household - Product 2,6,64.83,324.15,Handling Error,2026-06-02,13,Household,Low,MGR_002,Under Review,None
DMG000048,2026-05-10,18:03,EMP0017,Kunal Mehta,Quality Checker,S002,PROD00076,SKU000076,Fruits & Vegetables - Product 11,11,318.16,318.16,Product Expired,2026-04-22,18,Fruits & Vegetables,Medium,AMGR_001,Approved,None
DMG000049,2026-05-21,21:25,EMP0038,Amit Verma,Assistant Manager,S005,PROD00075,SKU000075,Fruits & Vegetables - Product 10,16,171.77,2920.09,Shelf Life Expired,2026-05-20,1,Fruits & Vegetables,Medium,AMGR_001,Approved,None
DMG000050,2026-07-16,16:35,EMP0005,Rohan Singh,Quality Checker,S005,PROD00109,SKU000109,Personal Care - Product 7,3,451.76,4065.84,Temperature Breach,2026-06-28,18,Personal Care,Low,MGR_001,Approved,None
DMG000051,2026-05-02,11:18,EMP0021,Disha Singh,Assistant Manager,S003,PROD00112,SKU000112,Personal Care - Product 10,7,227.02,3632.32,Manufacturing Defect,2026-05-02,0,Personal Care,Low,MGR_001,Approved,None
DMG000052,2026-05-09,15:46,EMP0023,Vikram Reddy,Quality Checker,S003,PROD00120,SKU000120,Personal Care - Product 18,13,247.13,3459.82,Manufacturing Defect,2026-05-05,4,Personal Care,Low,MGR_001,Approved,None
DMG000053,2026-06-17,12:10,EMP0039,Suresh Reddy,Store Manager,S001,PROD00034,SKU000034,Beverages - Product 4,20,263.69,4219.04,Product Expired,2026-06-12,5,Beverages,Low,MGR_002,Approved,None
DMG000054,2026-06-27,14:22,EMP0005,Rohan Singh,Quality Checker,S005,PROD00005,SKU000005,Snacks & Chips - Product 5,6,289.4,1736.4,Pest Damage,2026-06-16,11,Snacks & Chips,Low,MGR_001,Approved,None
DMG000055,2026-07-09,13:31,EMP0016,Sneha Kulkarni,Assistant Manager,S005,PROD00031,SKU000031,Beverages - Product 1,9,347.22,3819.42,Manufacturing Defect,2026-06-22,17,Beverages,Low,AMGR_001,Approved,None
DMG000056,2026-04-26,20:51,EMP0007,Vikram Kulkarni,Store Manager,S005,PROD00013,SKU000013,Snacks & Chips - Product 13,15,297.13,1188.52,Product Expired,2026-03-28,29,Snacks & Chips,Medium,AMGR_001,Approved,None
DMG000057,2026-07-18,09:55,EMP0007,Vikram Kulkarni,Store Manager,S005,PROD00043,SKU000043,Beverages - Product 13,7,465.88,5590.56,Product Crushed,2026-06-28,20,Beverages,Low,AMGR_001,Approved,None
DMG000058,2026-05-20,17:21,EMP0032,Pooja Sharma,Team Lead - Putaway,S004,PROD00026,SKU000026,Snacks & Chips - Product 26,5,211.71,846.84,Wrong Item Received,2026-05-16,4,Snacks & Chips,Low,MGR_002,Approved,None
DMG000059,2026-05-24,08:17,EMP0015,Disha Verma,Team Lead - Putaway,S003,PROD00130,SKU000130,Household - Product 10,12,239.1,3347.4,Manufacturing Defect,2026-05-19,5,Household,Medium,AMGR_001,Approved,None
DMG000060,2026-05-17,19:26,EMP0035,Neha Verma,Team Lead - Inventory,S004,PROD00059,SKU000059,Dairy & Milk - Product 9,14,67.0,1005.0,Pest Damage,2026-05-13,4,Dairy & Milk,Medium,MGR_002,Approved,None
DMG000061,2026-07-05,16:25,EMP0008,Anjali Sharma,Warehouse Associate,S001,PROD00022,SKU000022,Snacks & Chips - Product 22,6,121.27,1697.78,Packaging Damaged,2026-06-25,10,Snacks & Chips,Low,MGR_001,Approved,None
DMG000062,2026-05-11,23:55,EMP0029,Pooja Verma,Assistant Manager,S001,PROD00108,SKU000108,Personal Care - Product 6,10,310.98,3420.78,Manufacturing Defect,2026-04-29,12,Personal Care,Medium,MGR_002,Approved,None
DMG000063,2026-07-05,23:39,EMP0027,Anjali Gupta,Team Lead - Inventory,S004,PROD00053,SKU000053,Dairy & Milk - Product 3,20,65.28,979.2,Manufacturing Defect,2026-06-07,28,Dairy & Milk,Medium,MGR_002,Approved,None
DMG000064,2026-07-13,10:33,EMP0030,Pooja Reddy,Warehouse Associate,S001,PROD00100,SKU000100,Bakery - Product 10,18,432.12,4321.2,Wrong Item Received,2026-06-20,23,Bakery,Low,AMGR_001,Approved,None
DMG000065,2026-05-18,06:56,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00041,SKU000041,Beverages - Product 11,18,81.63,1550.97,Spillage/Leakage,2026-05-18,0,Beverages,Low,MGR_002,Approved,None
DMG000066,2026-07-09,22:22,EMP0030,Pooja Reddy,Warehouse Associate,S001,PROD00067,SKU000067,Fruits & Vegetables - Product 2,4,44.07,88.14,Product Expired,2026-06-19,20,Fruits & Vegetables,Low,MGR_002,Approved,None
DMG000067,2026-07-23,23:54,EMP0011,Disha Reddy,Team Lead - Inventory,S004,PROD00061,SKU000061,Dairy & Milk - Product 11,20,253.11,2024.88,Manufacturing Defect,2026-06-28,25,Dairy & Milk,Low,MGR_002,Approved,None
DMG000068,2026-07-06,16:33,EMP0028,Rohan Mehta,Store Manager,S004,PROD00064,SKU000064,Dairy & Milk - Product 14,19,354.36,2480.52,Manufacturing Defect,2026-07-03,3,Dairy & Milk,Low,MGR_001,Approved,None
DMG000069,2026-05-30,19:56,EMP0002,Pooja Singh,Quality Checker,S004,PROD00024,SKU000024,Snacks & Chips - Product 24,5,147.14,2354.24,Wrong Item Received,2026-05-29,1,Snacks & Chips,Low,MGR_001,Approved,None
DMG000070,2026-05-17,18:55,EMP0028,Rohan Mehta,Store Manager,S004,PROD00144,SKU000144,Frozen Foods - Product 4,9,403.94,7674.86,Handling Error,2026-05-01,16,Frozen Foods,Medium,MGR_002,Approved,None
DMG000071,2026-05-22,22:08,EMP0035,Neha Verma,Team Lead - Inventory,S004,PROD00042,SKU000042,Beverages - Product 12,16,147.23,2208.45,Product Crushed,2026-05-18,4,Beverages,Medium,AMGR_001,Approved,None
DMG000072,2026-04-26,11:35,EMP0034,Vikram Patel,Assistant Manager,S002,PROD00122,SKU000122,Household - Product 2,12,64.83,259.32,Shelf Life Expired,2026-04-25,1,Household,Low,MGR_001,Approved,None
DMG000073,2026-05-11,09:23,EMP0003,Pooja Reddy,Team Lead - Putaway,S003,PROD00134,SKU000134,Household - Product 14,10,380.85,4570.2,Spillage/Leakage,2026-05-07,4,Household,Low,MGR_002,Approved,None
DMG000074,2026-07-05,15:56,EMP0022,Sneha Singh,Quality Checker,S005,PROD00013,SKU000013,Snacks & Chips - Product 13,10,297.13,2079.91,Product Crushed,2026-06-06,29,Snacks & Chips,Low,MGR_001,Approved,None
DMG000075,2026-06-09,15:36,EMP0004,Priya Reddy,Assistant Manager,S001,PROD00107,SKU000107,Personal Care - Product 5,15,306.35,3369.85,Temperature Breach,2026-05-25,15,Personal Care,Low,AMGR_001,Approved,None
DMG000076,2026-07-06,20:09,EMP0025,Rajesh Sharma,Assistant Manager,S005,PROD00116,SKU000116,Personal Care - Product 14,11,221.81,665.43,Shelf Life Expired,2026-06-15,21,Personal Care,Medium,AMGR_001,Approved,None
DMG000077,2026-06-24,20:47,EMP0011,Disha Reddy,Team Lead - Inventory,S004,PROD00139,SKU000139,Household - Product 19,9,50.83,152.49,Product Crushed,2026-06-23,1,Household,Medium,MGR_001,Approved,None
DMG000078,2026-04-24,23:05,EMP0023,Vikram Reddy,Quality Checker,S003,PROD00032,SKU000032,Beverages - Product 2,7,73.55,1471.0,Pest Damage,2026-04-04,20,Beverages,Medium,MGR_001,Approved,None
DMG000079,2026-06-29,23:11,EMP0028,Rohan Mehta,Store Manager,S004,PROD00005,SKU000005,Snacks & Chips - Product 5,1,289.4,2604.6,Wrong Item Received,2026-06-26,3,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000080,2026-07-13,07:31,EMP0020,Disha Mehta,Team Lead - Putaway,S005,PROD00103,SKU000103,Personal Care - Product 1,1,434.89,4783.79,Temperature Breach,2026-06-25,18,Personal Care,Low,MGR_002,Approved,None
DMG000081,2026-06-13,09:34,EMP0011,Disha Reddy,Team Lead - Inventory,S004,PROD00024,SKU000024,Snacks & Chips - Product 24,6,147.14,1471.4,Product Crushed,2026-06-10,3,Snacks & Chips,Low,MGR_002,Approved,None
DMG000082,2026-06-14,16:11,EMP0032,Pooja Sharma,Team Lead - Putaway,S004,PROD00044,SKU000044,Beverages - Product 14,1,211.52,423.04,Spillage/Leakage,2026-06-13,1,Beverages,Low,MGR_001,Approved,None
DMG000083,2026-06-01,09:03,EMP0015,Disha Verma,Team Lead - Putaway,S003,PROD00097,SKU000097,Bakery - Product 7,7,443.08,3544.64,Shelf Life Expired,2026-05-02,30,Bakery,Medium,MGR_001,Approved,None
DMG000084,2026-05-20,16:29,EMP0002,Pooja Singh,Quality Checker,S004,PROD00069,SKU000069,Fruits & Vegetables - Product 4,18,52.89,740.46,Product Expired,2026-05-19,1,Fruits & Vegetables,Low,MGR_001,Approved,None
DMG000085,2026-06-24,09:15,EMP0029,Pooja Verma,Assistant Manager,S001,PROD00142,SKU000142,Frozen Foods - Product 2,18,202.58,1012.9,Spillage/Leakage,2026-05-25,30,Frozen Foods,Low,MGR_002,Approved,None
DMG000086,2026-05-03,23:10,EMP0016,Sneha Kulkarni,Assistant Manager,S005,PROD00037,SKU000037,Beverages - Product 7,8,460.88,8295.84,Temperature Breach,2026-04-22,11,Beverages,Low,MGR_002,Approved,Verified and written off
DMG000087,2026-05-25,07:59,EMP0019,Vikram Yadav,Team Lead - Putaway,S005,PROD00043,SKU000043,Beverages - Product 13,16,465.88,4192.92,Shelf Life Expired,2026-05-25,0,Beverages,Low,AMGR_001,Approved,None
DMG000088,2026-05-04,11:47,EMP0037,Pooja Singh,Team Lead - Putaway,S002,PROD00073,SKU000073,Fruits & Vegetables - Product 8,18,468.66,8904.54,Product Expired,2026-05-03,1,Fruits & Vegetables,Low,MGR_001,Approved,None
DMG000089,2026-07-08,19:13,EMP0037,Pooja Singh,Team Lead - Putaway,S002,PROD00072,SKU000072,Fruits & Vegetables - Product 7,20,335.54,5704.18,Manufacturing Defect,2026-06-10,28,Fruits & Vegetables,Medium,MGR_002,Approved,None
DMG000090,2026-04-24,16:21,EMP0011,Disha Reddy,Team Lead - Inventory,S004,PROD00063,SKU000063,Dairy & Milk - Product 13,7,464.73,6970.95,Shelf Life Expired,2026-04-03,21,Dairy & Milk,Low,MGR_001,Approved,None
DMG000091,2026-07-23,06:43,EMP0025,Rajesh Sharma,Assistant Manager,S005,PROD00002,SKU000002,Snacks & Chips - Product 2,6,127.14,1779.96,Pest Damage,2026-06-25,28,Snacks & Chips,Medium,AMGR_001,Approved,None
DMG000092,2026-06-03,06:57,EMP0007,Vikram Kulkarni,Store Manager,S005,PROD00020,SKU000020,Snacks & Chips - Product 20,15,348.61,1394.44,Manufacturing Defect,2026-05-17,17,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000093,2026-07-01,12:28,EMP0008,Anjali Sharma,Warehouse Associate,S001,PROD00119,SKU000119,Personal Care - Product 17,1,243.19,1945.52,Packaging Damaged,2026-06-20,11,Personal Care,Low,AMGR_001,Approved,None
DMG000094,2026-07-12,21:23,EMP0019,Vikram Yadav,Team Lead - Putaway,S005,PROD00057,SKU000057,Dairy & Milk - Product 7,2,222.5,2002.5,Handling Error,2026-07-05,7,Dairy & Milk,Medium,AMGR_001,Approved,None
DMG000095,2026-07-23,14:36,EMP0031,Neha Mehta,Warehouse Associate,S002,PROD00029,SKU000029,Snacks & Chips - Product 29,17,204.69,3275.04,Product Crushed,2026-06-26,27,Snacks & Chips,Low,MGR_001,Approved,None
DMG000096,2026-04-27,10:47,EMP0013,Rohan Joshi,Warehouse Associate,S005,PROD00017,SKU000017,Snacks & Chips - Product 17,3,356.87,1784.35,Spillage/Leakage,2026-04-09,18,Snacks & Chips,Low,MGR_001,Approved,None
DMG000097,2026-06-18,14:43,EMP0001,Pooja Gupta,Assistant Manager,S002,PROD00137,SKU000137,Household - Product 17,18,181.21,2718.15,Packaging Damaged,2026-05-30,19,Household,Low,AMGR_001,Approved,None
DMG000098,2026-05-29,22:29,EMP0011,Disha Reddy,Team Lead - Inventory,S004,PROD00032,SKU000032,Beverages - Product 2,16,73.55,882.6,Pest Damage,2026-05-08,21,Beverages,Low,AMGR_001,Approved,None
DMG000099,2026-06-18,06:25,EMP0028,Rohan Mehta,Store Manager,S004,PROD00115,SKU000115,Personal Care - Product 13,7,354.66,3901.26,Product Expired,2026-06-08,10,Personal Care,Medium,MGR_001,Approved,None
DMG000100,2026-05-30,16:19,EMP0018,Rohan Singh,Team Lead - Putaway,S001,PROD00051,SKU000051,Dairy & Milk - Product 1,3,278.83,1115.32,Packaging Damaged,2026-05-25,5,Dairy & Milk,Low,MGR_002,Approved,None
DMG000101,2026-05-04,09:30,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00065,SKU000065,Dairy & Milk - Product 15,8,111.15,1222.65,Packaging Damaged,2026-04-27,7,Dairy & Milk,Low,AMGR_001,Approved,None
DMG000102,2026-05-08,20:37,EMP0025,Rajesh Sharma,Assistant Manager,S005,PROD00025,SKU000025,Snacks & Chips - Product 25,4,146.12,438.36,Packaging Damaged,2026-04-18,20,Snacks & Chips,Low,MGR_002,Approved,None
DMG000103,2026-07-15,15:39,EMP0001,Pooja Gupta,Assistant Manager,S002,PROD00114,SKU000114,Personal Care - Product 12,14,168.46,505.38,Product Expired,2026-07-14,1,Personal Care,Medium,MGR_001,Approved,None
DMG000104,2026-06-16,19:14,EMP0027,Anjali Gupta,Team Lead - Inventory,S004,PROD00025,SKU000025,Snacks & Chips - Product 25,20,146.12,2922.4,Packaging Damaged,2026-05-28,19,Snacks & Chips,Low,MGR_002,Approved,None
DMG000105,2026-05-05,06:29,EMP0007,Vikram Kulkarni,Store Manager,S005,PROD00087,SKU000087,Fruits & Vegetables - Product 22,17,418.09,4598.99,Shelf Life Expired,2026-04-15,20,Fruits & Vegetables,Low,MGR_001,Approved,Partial recovery
DMG000106,2026-05-08,22:16,EMP0018,Rohan Singh,Team Lead - Putaway,S001,PROD00147,SKU000147,Frozen Foods - Product 7,12,423.44,5928.16,Handling Error,2026-05-04,4,Frozen Foods,Medium,AMGR_001,Approved,None
DMG000107,2026-06-22,15:37,EMP0001,Pooja Gupta,Assistant Manager,S002,PROD00016,SKU000016,Snacks & Chips - Product 16,14,98.07,1667.19,Manufacturing Defect,2026-06-18,4,Snacks & Chips,Low,AMGR_001,Approved,None
DMG000108,2026-07-05,16:18,EMP0034,Vikram Patel,Assistant Manager,S002,PROD00080,SKU000080,Fruits & Vegetables - Product 15,12,313.61,313.61,Pest Damage,2026-06-16,19,Fruits & Vegetables,Medium,AMGR_001,Approved,None
DMG000109,2026-06-23,17:12,EMP0038,Amit Verma,Assistant Manager,S005,PROD00014,SKU000014,Snacks & Chips - Product 14,7,391.07,2737.49,Product Expired,2026-06-10,13,Snacks & Chips,Low,MGR_001,Approved,None
DMG000110,2026-04-26,16:39,EMP0028,Rohan Mehta,Store Manager,S004,PROD00085,SKU000085,Fruits & Vegetables - Product 20,10,350.0,4900.0,Manufacturing Defect,2026-03-30,27,Fruits & Vegetables,Low,MGR_001,Approved,None
DMG000111,2026-05-21,13:29,EMP0001,Pooja Gupta,Assistant Manager,S002,PROD00058,SKU000058,Dairy & Milk - Product 8,20,439.75,3078.25,Wrong Item Received,2026-04-29,22,Dairy & Milk,Low,AMGR_001,Approved,None
DMG000112,2026-06-05,06:23,EMP0031,Neha Mehta,Warehouse Associate,S002,PROD00048,SKU000048,Beverages - Product 18,1,54.08,162.24,Manufacturing Defect,2026-05-10,26,Beverages,Low,AMGR_001,Approved,None
DMG000113,2026-06-16,17:02,EMP0010,Kunal Verma,Assistant Manager,S004,PROD00150,SKU000150,Frozen Foods - Product 10,1,436.09,3052.63,Wrong Item Received,2026-05-18,29,Frozen Foods,Low,MGR_001,Approved,None
DMG000114,2026-07-01,11:12,EMP0040,Neha Verma,Team Lead - Inventory,S003,PROD00142,SKU000142,Frozen Foods - Product 2,1,202.58,1215.48,Spillage/Leakage,2026-06-24,7,Frozen Foods,Low,MGR_001,Approved,None
DMG000115,2026-05-01,20:15,EMP0030,Pooja Reddy,Warehouse Associate,S001,PROD00054,SKU000054,Dairy & Milk - Product 4,12,223.32,2679.84,Product Crushed,2026-04-22,9,Dairy & Milk,Low,AMGR_001,Approved,None
